id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
weka.estimators.KernelEstimator-calls-weka.core.Utils,CALLS,weka.estimators.KernelEstimator,weka.core.Utils,{},compile_time,1,
weka.gui.knowledgeflow.steps.SorterStepEditorDialog-calls-weka.gui.knowledgeflow.GOEStepEditorDialog,CALLS,weka.gui.knowledgeflow.steps.SorterStepEditorDialog,weka.gui.knowledgeflow.GOEStepEditorDialog,{},compile_time,1,
weka.knowledgeflow.steps.DataGenerator-calls-weka.knowledgeflow.steps.BaseStep,CALLS,weka.knowledgeflow.steps.DataGenerator,weka.knowledgeflow.steps.BaseStep,{},compile_time,2,
weka.gui.knowledgeflow.steps.BlockStepEditorDialog-calls-weka.knowledgeflow.StepManagerImpl,CALLS,weka.gui.knowledgeflow.steps.BlockStepEditorDialog,weka.knowledgeflow.StepManagerImpl,{},compile_time,1,
weka.core.matrix.SingularValueDecomposition-calls-weka.core.matrix.Matrix,CALLS,weka.core.matrix.SingularValueDecomposition,weka.core.matrix.Matrix,{},compile_time,2,
weka.classifiers.functions.MultilayerPerceptron-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.functions.MultilayerPerceptron,weka.core.RevisionUtils,{},compile_time,1,
weka.gui.scripting.Script-calls-weka.core.Option,CALLS,weka.gui.scripting.Script,weka.core.Option,{},compile_time,1,
weka.associations.AssociatorEvaluation-calls-weka.associations.Associator,CALLS,weka.associations.AssociatorEvaluation,weka.associations.Associator,{},compile_time,1,
weka.filters.unsupervised.attribute.KernelFilter-calls-weka.classifiers.functions.supportVector.RBFKernel,CALLS,weka.filters.unsupervised.attribute.KernelFilter,weka.classifiers.functions.supportVector.RBFKernel,{},compile_time,1,
weka.filters.supervised.attribute.AttributeSelection-calls-weka.core.Capabilities,CALLS,weka.filters.supervised.attribute.AttributeSelection,weka.core.Capabilities,{},compile_time,1,
weka.classifiers.rules.RuleStats-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.rules.RuleStats,weka.core.RevisionUtils,{},compile_time,1,
weka.estimators.PoissonEstimator-calls-weka.core.Capabilities,CALLS,weka.estimators.PoissonEstimator,weka.core.Capabilities,{},compile_time,4,
weka.filters.unsupervised.attribute.Remove-calls-weka.core.Utils,CALLS,weka.filters.unsupervised.attribute.Remove,weka.core.Utils,{},compile_time,1,
weka.filters.unsupervised.attribute.RemoveUseless-calls-weka.core.Capabilities,CALLS,weka.filters.unsupervised.attribute.RemoveUseless,weka.core.Capabilities,{},compile_time,7,
weka.gui.beans.ModelPerformanceChartCustomizer-calls-weka.gui.beans.OffscreenChartRenderer,CALLS,weka.gui.beans.ModelPerformanceChartCustomizer,weka.gui.beans.OffscreenChartRenderer,{},compile_time,1,
weka.filters.unsupervised.attribute.AddExpression-calls-weka.core.expressionlanguage.weka.InstancesHelper,CALLS,weka.filters.unsupervised.attribute.AddExpression,weka.core.expressionlanguage.weka.InstancesHelper,{},compile_time,1,
weka.classifiers.trees.RandomTree$Tree-calls-weka.classifiers.trees.RandomTree,CALLS,weka.classifiers.trees.RandomTree$Tree,weka.classifiers.trees.RandomTree,{},compile_time,1,
weka.filters.unsupervised.attribute.Standardize-calls-weka.filters.unsupervised.attribute.PotentialClassIgnorer,CALLS,weka.filters.unsupervised.attribute.Standardize,weka.filters.unsupervised.attribute.PotentialClassIgnorer,{},compile_time,2,
weka.classifiers.bayes.net.search.global.TAN-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.bayes.net.search.global.TAN,weka.core.RevisionUtils,{},compile_time,1,
weka.gui.ConverterFileChooser-calls-weka.gui.ExtensionFileFilterWithClass,CALLS,weka.gui.ConverterFileChooser,weka.gui.ExtensionFileFilterWithClass,{},compile_time,1,
weka.gui.beans.Clusterer-calls-weka.gui.beans.KnowledgeFlowApp,CALLS,weka.gui.beans.Clusterer,weka.gui.beans.KnowledgeFlowApp,{},compile_time,1,
weka.core.converters.SVMLightSaver-calls-weka.core.Utils,CALLS,weka.core.converters.SVMLightSaver,weka.core.Utils,{},compile_time,1,
weka.classifiers.MultipleClassifiersCombiner-calls-weka.core.CommandlineRunnable,CALLS,weka.classifiers.MultipleClassifiersCombiner,weka.core.CommandlineRunnable,{},compile_time,1,
weka.classifiers.bayes.net.search.SearchAlgorithm-calls-weka.classifiers.bayes.net.ParentSet,CALLS,weka.classifiers.bayes.net.search.SearchAlgorithm,weka.classifiers.bayes.net.ParentSet,{},compile_time,1,
weka.filters.unsupervised.attribute.ClusterMembership-calls-weka.core.Range,CALLS,weka.filters.unsupervised.attribute.ClusterMembership,weka.core.Range,{},compile_time,2,
weka.gui.sql.DbUtils-calls-weka.experiment.DatabaseUtils,CALLS,weka.gui.sql.DbUtils,weka.experiment.DatabaseUtils,{},compile_time,1,
weka.gui.beans.ClassAssigner-calls-weka.gui.beans.BeanCommon,CALLS,weka.gui.beans.ClassAssigner,weka.gui.beans.BeanCommon,{},compile_time,4,
weka.associations.FPGrowth-calls-weka.associations.FPGrowth$ShadowCounts,CALLS,weka.associations.FPGrowth,weka.associations.FPGrowth$ShadowCounts,{},compile_time,1,
weka.core.Tag-calls-weka.core.RevisionUtils,CALLS,weka.core.Tag,weka.core.RevisionUtils,{},compile_time,1,
weka.gui.beans.SaverCustomizer-calls-weka.core.converters.DatabaseSaver,CALLS,weka.gui.beans.SaverCustomizer,weka.core.converters.DatabaseSaver,{},compile_time,2,
